Q46P,Q49,Q260,Q261,Q262,Q263,Q264,Q265,Q266,Q267,Q268,Q269,Q270,Q271,Q272,Q273,Q274,Q275,Q276,Q277,Q278,Q279,Q280,Q281,Q282,Q283,Q284,Q285,Q286,Q287P,Q288,Q289,Q290
3,8,Male,1968,49,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,3,Master or equivalent (ISCED 7),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Higher administrative (for example: banker, executive in big business, high government official, union official)",Government or public institution,Yes,Save money,Lower middle class,5,Do not belong to a denomination,840001
3,6,Female,1957,60,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,3,Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Self employed,"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)","Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)",Private business or industry,No,Just get by,Lower middle class,5,Roman Catholic,840001
4,10,Male,1966,51,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,2,Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Bachelor or equivalent (ISCED 6),Lower secondary education (ISCED 2),Self employed,Self employed,"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)",Private business or industry,Yes,Just get by,Lower middle class,6,Protestant,840001
4,10,Female,1987,30,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Doctoral or equivalent (ISCED 8),Doctoral or equivalent (ISCED 8),Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Government or public institution,Yes,Spent some savings and borrowed money,Lower middle class,6,Jew,840001
3,8,Male,1982,35,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",5,"Yes, own parent(s)",1240,Married,3,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Master or equivalent (ISCED 7),Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,Yes,Save money,Working class,7,Roman Catholic,840001
3,8,Male,1988,29,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Post-secondary non-tertiary education (ISCED 4),Master or equivalent (ISCED 7),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Government or public institution,No,Save money,Lower middle class,4,Protestant,840001
4,9,Female,1959,58,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,4,Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Self employed,"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)",Private non-profit organization,No,Save money,Lower middle class,7,Other Christian (Evangelical/Pentecostal/Fee church/etc.),840001
3,5,Male,1971,46,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",5,No,1240,Married,3,Master or equivalent (ISCED 7),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper",Private business or industry,Yes,Spent savings and borrowed money,Lower middle class,5,Do not belong to a denomination,840001
3,7,Male,1993,24,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Living together as married,0,Master or equivalent (ISCED 7),Doctoral or equivalent (ISCED 8),Bachelor or equivalent (ISCED 6),Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Government or public institution,No,Just get by,Upper middle class,5,Do not belong to a denomination,840001
3,8,Female,1963,54,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Living together as married,2,Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Lower secondary education (ISCED 2),Full time (30 hours a week or more),Full time (30 hours a week or more),"Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,No,Just get by,Upper middle class,4,Do not belong to a denomination,840001
3,7,Female,1963,54,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,No,Spent savings and borrowed money,Lower middle class,5,Roman Catholic,840001
4,9,Female,1998,19,I am born in this country,Immigrant,Not an immigrant,840,764,840,"Yes, I am a citizen of this country",3,No,1240,Living together as married,0,Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private non-profit organization,No,Save money,Working class,7,Protestant,840005
4,9,Female,1987,30,I am born in this country,Immigrant,Not an immigrant,840,276,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Master or equivalent (ISCED 7),Doctoral or equivalent (ISCED 8),Master or equivalent (ISCED 7),Master or equivalent (ISCED 7),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,No,Save money,Working class,7,Protestant,840001
4,8,Female,1989,28,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Bachelor or equivalent (ISCED 6),Master or equivalent (ISCED 7),Post-secondary non-tertiary education (ISCED 4),Master or equivalent (ISCED 7),Full time (30 hours a week or more),Full time (30 hours a week or more),"Higher administrative (for example: banker, executive in big business, high government official, union official)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private non-profit organization,No,Save money,Lower middle class,5,Roman Catholic,840001
3,8,Male,1957,60,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,9000,Married,2,Master or equivalent (ISCED 7),Lower secondary education (ISCED 2),Upper secondary education (ISCED 3),Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Government or public institution,Yes,Just get by,Lower middle class,4,Do not belong to a denomination,840001
4,10,Male,1978,39,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Bachelor or equivalent (ISCED 6),Master or equivalent (ISCED 7),Upper secondary education (ISCED 3),Lower secondary education (ISCED 2),Full time (30 hours a week or more),Part time (less than 30 hours a week),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)",Private business or industry,Yes,Save money,Upper middle class,6,Protestant,840003
4,8,Male,1979,38,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",5,No,1240,Married,3,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Part time (less than 30 hours a week),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Government or public institution,Yes,Save money,Lower middle class,5,Do not belong to a denomination,840001
3,9,Male,1974,43,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Master or equivalent (ISCED 7),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Part time (less than 30 hours a week),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)",Government or public institution,Yes,Just get by,Working class,7,Protestant,840001
3,8,Female,1970,47,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Short-cycle tertiary education (ISCED 5),Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Private non-profit organization,No,Save money,Working class,6,Roman Catholic,840001
3,8,Male,1990,27,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,1,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Higher administrative (for example: banker, executive in big business, high government official, union official)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Government or public institution,Yes,Save money,Working class,6,Do not belong to a denomination,840001
3,7,Female,1990,27,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Short-cycle tertiary education (ISCED 5),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)",Private business or industry,No,Just get by,Lower middle class,6,Other Christian (Evangelical/Pentecostal/Fee church/etc.),840001
3,7,Female,1986,31,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,1,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Doctoral or equivalent (ISCED 8),Post-secondary non-tertiary education (ISCED 4),Self employed,Full time (30 hours a week or more),"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Private business or industry,No,Just get by,Lower middle class,3,Do not belong to a denomination,840001
3,5,Male,1977,40,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Upper secondary education (ISCED 3),Short-cycle tertiary education (ISCED 5),Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Full time (30 hours a week or more),"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)",Private business or industry,No,Save money,Lower middle class,4,Roman Catholic,840001
4,9,Female,1974,43,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Post-secondary non-tertiary education (ISCED 4),Master or equivalent (ISCED 7),Doctoral or equivalent (ISCED 8),Self employed,Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,No,Just get by,Lower middle class,5,Other Christian (Evangelical/Pentecostal/Fee church/etc.),840001
3,5,Female,1971,46,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Short-cycle tertiary education (ISCED 5),Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private non-profit organization,No,Just get by,Lower middle class,4,Protestant,840001
4,9,Male,1972,45,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,2,Post-secondary non-tertiary education (ISCED 4),Bachelor or equivalent (ISCED 6),Lower secondary education (ISCED 2),Lower secondary education (ISCED 2),Full time (30 hours a week or more),Full time (30 hours a week or more),"Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)",Private business or industry,No,Save money,Lower middle class,5,Orthodox (Russian/Greek/etc.),840001
3,7,Male,1984,33,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Short-cycle tertiary education (ISCED 5),Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Full time (30 hours a week or more),"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Government or public institution,No,Save money,Lower middle class,5,Protestant,840001
3,8,Female,1988,29,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",6,No,1240,Married,4,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)","Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)",Government or public institution,Yes,Just get by,Lower middle class,5,Protestant,840002
3,7,Male,1959,58,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Doctoral or equivalent (ISCED 8),Doctoral or equivalent (ISCED 8),Upper secondary education (ISCED 3),Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Self employed,"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Government or public institution,Yes,Save money,Lower middle class,5,Jew,840001
3,8,Male,1981,36,I am an immigrant to this country (born outside this country),Not an immigrant,Not an immigrant,124,840,840,"Not, I am not a citizen of this country",2,No,1240,Married,0,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,No,Save money,Working class,6,Jew,840001
4,10,Male,1965,52,I am born in this country,Immigrant,Not an immigrant,840,826,840,"Yes, I am a citizen of this country",3,No,1240,Married,1,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,Yes,Save money,Working class,7,Roman Catholic,840001
3,8,Male,1944,73,I am born in this country,Immigrant,Not an immigrant,840,380,840,"Yes, I am a citizen of this country",2,No,1240,Married,3,Post-secondary non-tertiary education (ISCED 4),Bachelor or equivalent (ISCED 6),Lower secondary education (ISCED 2),Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Full time (30 hours a week or more),"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)",Private business or industry,No,Save money,Lower middle class,6,Roman Catholic,840001
